"weekWeekday" "no2_8" "no2_11" "weekWeekday:CO_10" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
1 0.0221691113141187 0.24783456064853 -0.482889594848292 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 1.32050041844092 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 -1.06557973436892 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 8.76972626135947 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.50775557939104 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.0867799378509504 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.226122011956069 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 1.42128423146171 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 1.00591968015405 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.474952282647656 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.297411632729519 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 -0.364193455316312 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.587965394892953 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 2.84981025499266 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.510143620886704 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.46516884326805 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.510143620886704 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.510143620886704 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.510143620886704 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.510143620886704 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.688101774425387 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.505885215980232 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.318633063736751 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.386038083580064 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.192527407615805 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.01426738715505 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 -0.755818778717584 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 -0.906023348016235 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 -0.452172472678501 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.355177087301749 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.449054943113406 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
0 0.0221691113141187 0.24783456064853 0 0 0 0 0 0 0 0 0 0
1 0.0221691113141187 0.24783456064853 0.20425314746048 0 0 0 0 0 0 0 0 0
