"weeksábado" "weeksexta" "weekterça" "no2_11" "weeksábado:no_7" "weeksábado:no_9" "weeksegunda:no_9" "weekquarta:no_10" "weekterça:no_10" "weekquarta:no_11" "weekquinta:no_11" "weekquinta:no_12" "weeksegunda:no_12" "weekquinta:no_13" "weeksábado:no_13" "weeksegunda:no_13" "weekterça:no_13" "weekquinta:no2_7" "weekquarta:no2_8" "weeksegunda:no2_8" "weekquinta:no2_9" "weekterça:no2_9" "weekquinta:no2_10" "weeksegunda:no2_10" "weekquarta:no2_11" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksegunda:no2_13" "weeksábado:CO_7" "weekquarta:CO_8" "weekquinta:CO_8" "weeksábado:CO_8" "weeksábado:CO_9" "weeksegunda:CO_9" "weeksexta:CO_9" "weekterça:CO_9" "weekquinta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weeksegunda:CO_11" "weeksábado:CO_12" "weeksegunda:CO_12" "weekquarta:CO_13" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonWinter:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter" "ONI:seasonSpring"
1 0 0 -1.26091743860367 -0.495978267087149 -0.601635955115017 0 0 0 0 0 0 0 0 -0.61720798331175 0 0 0 0 0 0 0 0 0 0 -1.26091743860367 0 -1.28510454612016 0 0 -0.269898865894561 0 0 0.136646702970199 0.309133999671143 0 0 0 0 0.676501170596988 0 0 0 0.0119436533549544 0 0 0 0.148439713025259 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.51257285874228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.26509429204995 0 0 0.106863126023228 0 0 0 0 0 -0.282661917100136 0 0 -0.107305647620923 0 0 0 -0.538328445056371 0 0 0 -1.28250150779381 0 0 -1.26509429204995 0 0 -1.09432738317059 0 0 0 0 0 0.688002210758627 0 0 0 0 0 0 0.545936194296012 0 0.273588390019784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -0.602018807452372 0 0 0 0 -0.0022020599970321 0 0 0 0 0 0 0 0.440615721871413 0 0 0 0 -0.464771993871273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.677023282698638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.0583400464589 0 0 0 0.560731065893578 0 -0.00560443661322216 0 0 0 0 0 0 0 0 -0.624012383821926 0 0 0 0 0 -1.0583400464589 0 0 0 -0.706961232849924 0 0 0.183822108879673 0 0 0 0 0 0 0 0 0 0.409914951549426 0 0 0 0.733892067867906 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.821303613382281 0 0 0 0 0 0 0.264544517841747 0.407131992442155 0 0.275866575398207 0 0 0 -0.630751456608813 0 0 -0.814065265339588 0 -0.50375683998047 0 0 0 0 0 0 0 0 0 0.496598427773518 0 0 0 0 0 0.857068972255986 0 0 0 0 0 0 0 0.324483742388202 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 -0.430767816154729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.434281087152637 0 0 0 0.904448076571429 0 0 0 0 0 0 0 0.975836313742228 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -0.982112471064215 -0.400695194338755 -0.186379619570893 0 0 0 0 0 0 0 0 -0.327965137919877 0 0 0 0 0 0 0 0 0 0 -0.982112471064215 0 -1.11372096339504 0 0 -0.274816692058169 0 0 0.0600288897926389 0.456937025403597 0 0 0 0 0.498430657013182 0 0 0 0.574635746832404 0 0 0 0.369967813392134 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.40084202905418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.724191770756179 0 0 0.670791482935 0 0 0 0 0 0.31419808593007 0 0 0.354141056754255 0 0 0 -0.343099217489285 0 0 0 -0.18884841226617 0 0 -0.724191770756179 0 0 -0.915543006099512 0 0 0 0 0 0.795951093013201 0 0 0 0 0 0 0.806492153087779 0 0.709341682762119 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 -0.362893947652614 0 0 0 0 0.696166695199502 0 0 0 0 0 0 0 0.335504275479006 0 0 0 0 -0.581992447686063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.15660570668325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.707484356971043 0 0 0 0.664841447604935 0 0.177710925338364 0 0 0 0 0 0 0 0 0.341287685815335 0 0 0 0 0 -0.707484356971043 0 0 0 -0.560767757849096 0 0 0.487872666537279 0 0 0 0 0 0 0 0 0 0.508945684579622 0 0 0 1.01258537565563 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.702263290163188 0 0 0 0 0 0 0.256650554886894 0.326215401427322 0 0.330285976721936 0 0 0 0.00558583237704071 0 0 -0.385440979673384 0 -0.178616730499279 0 0 0 0 0 0 0 0 0 0.257794046069471 0 0 0 0 0 0.926854300134954 0 0 0 0 0 0 0 0.918205928322473 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 -0.385866641607176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.81067427977573 0 0 0 1.08855370300362 0 0 0 0 0 0 0 0.860730602235688 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -1.27866906575038 -0.181269271999905 0.350890305923232 0 0 0 0 0 0 0 0 -0.367475114223406 0 0 0 0 0 0 0 0 0 0 -1.27866906575038 0 -1.11665896767032 0 0 -0.320075483217994 0 0 0.0367226630068122 0.686606046496663 0 0 0 0 0.661656180372238 0 0 0 0.525028131538423 0 0 0 0.719574922790533 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.59402150094482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.87247006809926 0 0 0.731285615767354 0 0 0 0 0 0.546532852210284 0 0 0.117081198933081 0 0 0 -0.269345953741719 0 0 0 -0.780012247686516 0 0 -0.87247006809926 0 0 -0.67157682488794 0 0 0 0 0 0.889811408624322 0 0 0 0 0 0 1.27133955852375 0 1.1069396325412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0.169193252666932 0 0 0 0 -0.0814521893207704 0 0 0 0 0 0 0 -0.119245874324104 0 0 0 0 0.126727070870692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0176194442870201 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.401529842030741 0 0 0 -0.0740658633022161 0 0.556621147171308 0 0 0 0 0 0 0 0 -0.160885271760005 0 0 0 0 0 -0.401529842030741 0 0 0 -0.606395020747444 0 0 1.68690485086413 0 0 0 0 0 0 0 0 0 1.25264961677231 0 0 0 0.824653464098479 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.3273906933592 0 0 0 0 0 0 0.322433579510669 0.626648288858633 0 0.533054156996651 0 0 0 -0.081409588083391 0 0 -0.423330419290286 0 -0.32981824994333 0 0 0 0 0 0 0 0 0 0.339196954118517 0 0 0 0 0 0.755790066984324 0 0 0 0 0 0 0 0.450546980091144 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 0 -0.5686039798821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.12392277055091 0 0 0 0.787353013490219 0 0 0 0 0 0 0 0.396276213552362 0 0 0 0 0 0 0 0 0 0 0
1 0 0 -0.876646921545544 -0.131795368842085 0.116091044590875 0 0 0 0 0 0 0 0 -0.0976145213577932 0 0 0 0 0 0 0 0 0 0 -0.876646921545544 0 -0.889453303714726 0 0 -0.263760827224193 0 0 -0.0790766328831516 0.479212191583112 0 0 0 0 0.404158032174696 0 0 0 0.642442270137093 0 0 0 0.470808066265622 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -1.2922438394508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 -0.0600720727970255 0 0 0.526220758708528 0 0 0 0 0 1.19867250652785 0 0 2.91707121772657 0 0 0 -0.18908504907525 0 0 0 -0.466240673501871 0 0 -0.0600720727970255 0 0 0.95703710999389 0 0 0 0 0 1.44815018938608 0 0 0 0 0 0 1.36693082310663 0 1.09072502914225 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
