"weekWeekday" "no2_8" "no2_11" "weekWeekday:CO_10" "seasonFall" "seasonSpring" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
1 -1.30623007348691 -1.58984464749853 0.0360855175367218 0 0 0 0 0 0 0 0 0
0 -1.18041568238812 -1.02701364561177 0 0 0 0 0 0 0 0 0 0
0 -1.45807502826131 -1.30059754634337 0 0 0 0 0 0 0 0 0 0
1 -0.526397770038383 -0.396308775222886 1.08758253541882 0 0 0 0 0 0 0 0 0
1 -0.127262460345673 -0.513260671718838 0.558781785496981 0 0 0 0 0 0 0 0 0
1 -0.48192889042588 -0.472536350617569 0.57688712404212 0 0 0 0 0 0 0 0 0
1 0.447579154157415 -0.676157956123913 1.45024425922721 0 0 0 0 0 0 0 0 0
1 -0.710780929407298 -0.12794594129914 1.28070614656698 0 0 0 0 0 0 0 0 0
0 -0.894079481956396 -0.789977212535152 0 0 0 0 0 0 0 0 0 0
0 -0.920110045632007 -1.42485893637032 0 0 0 0 0 0 0 0 0 0
1 -0.648958340677721 -0.47358056397914 0.978534289468783 0 0 0 0 0 0 0 0 0
1 -0.219454040030131 -0.538321792396541 0.884331033743496 0 0 0 0 0 0 0 0 0
1 -0.263922919642634 -0.61037251434494 1.82726538946795 0 0 0 0 0 0 0 0 0
1 -0.33008393565148 -0.795198279343006 0.701890266028104 0 0 0 0 0 0 0 0 0
1 -0.231384715048119 -0.863072147845121 0.762865716530701 0 0 0 0 0 0 0 0 0
0 -0.672819690713698 -1.26091743860367 0 0 0 0 0 0 0 0 0 0
0 -1.53508211246833 -1.51257285874228 0 0 0 0 0 0 0 0 0 0
1 -0.538328445056371 -1.26509429204995 0.2827620840751 0 0 0 0 0 0 0 0 0
1 -0.4895211381646 -0.602018807452372 1.11983917305671 0 0 0 0 0 0 0 0 0
1 -0.624012383821926 -1.0583400464589 0.93406868790773 0 0 0 0 0 0 0 0 0
1 -0.695596433929858 -0.821303613382281 0.857068972255986 0 0 0 0 0 0 0 0 0
1 -0.90384094333475 -0.430767816154729 0.904448076571429 0 0 0 0 0 0 0 0 0
0 -0.947225216127436 -0.982112471064215 0 0 0 0 0 0 0 0 0 0
0 -1.58822784663937 -1.40084202905418 0 0 0 0 0 0 0 0 0 0
1 -0.343099217489285 -0.724191770756179 0.951272227981273 0 0 0 0 0 0 0 0 0
1 -0.524228556398749 -0.362893947652614 1.5722645293456 0 0 0 0 0 0 0 0 0
1 0.341287685815335 -0.707484356971043 1.07246006874127 0 0 0 0 0 0 0 0 0
1 -0.624012383821926 -0.702263290163188 0.926854300134954 0 0 0 0 0 0 0 0 0
1 -0.0203658559504979 -0.385866641607176 1.08855370300362 0 0 0 0 0 0 0 0 0
0 -0.766095877217972 -1.27866906575038 0 0 0 0 0 0 0 0 0 0
0 -1.47759795101802 -1.59402150094482 0 0 0 0 0 0 0 0 0 0
1 -0.269345953741719 -0.87247006809926 0.743164888381966 0 0 0 0 0 0 0 0 0
1 0.0766436217799506 0.169193252666932 0.06363867018585 0 0 0 0 0 0 0 0 0
1 -0.160885271760005 -0.401529842030741 0.764183729681496 0 0 0 0 0 0 0 0 0
1 -0.217284826390496 -0.3273906933592 0.755790066984324 0 0 0 0 0 0 0 0 0
1 -0.507959454101492 -0.5686039798821 0.787353013490219 0 0 0 0 0 0 0 0 0
0 -0.731388458983824 -0.876646921545544 0 0 0 0 0 0 0 0 0 0
0 -1.3246683894238 -1.2922438394508 0 0 0 0 0 0 0 0 0 0
1 -0.18908504907525 -0.0600720727970255 0.909720129174611 0 0 0 0 0 0 0 0 0
1 -0.0383247011206669 -0.183289249462403 1.18615604527569 0 0 0 0 0 0 0 0 0
1 -0.170646733138359 0.757546989313064 1.23603243766632 0 0 0 0 0 0 0 0 0
1 0.58640882709401 -0.0726026331358775 1.92556142287203 0 0 0 0 0 0 0 0 0
1 0.982290316327268 -0.248030477879805 2.3842299993489 0 0 0 0 0 0 0 0 0
0 -1.12076230729818 -1.61072891472995 0 0 0 0 0 0 0 0 0 0
0 -0.929871507010362 -1.53450133933527 0 0 0 0 0 0 0 0 0 0
1 -1.03290915489299 -1.23585631792597 0.367808616858017 0 0 0 0 0 0 0 0 0
1 -1.59690470119791 -1.41232837603147 0.118565393131247 0 0 0 0 0 0 0 0 0
1 -0.686919579371321 -0.822347826743853 0.294485464205861 0 0 0 0 0 0 0 0 0
1 -0.281276628759708 -0.771181372026874 0.836882560314854 0 0 0 0 0 0 0 0 0
