"weeksábado" "weekterça" "no2_11" "weeksábado:no_7" "weeksegunda:no_9" "weeksegunda:no_10" "weekquarta:no_11" "weeksábado:no_13" "weeksegunda:no_13" "weeksábado:no2_8" "weekquinta:no2_9" "weeksegunda:no2_10" "weeksábado:no2_11" "weeksegunda:no2_11" "weeksábado:no2_12" "weekquarta:no2_13" "weeksábado:CO_7" "weeksexta:CO_7" "weekquinta:CO_8" "weeksábado:CO_8" "weekquarta:CO_9" "weeksegunda:CO_9" "weekterça:CO_9" "weekquarta:CO_10" "weeksábado:CO_10" "weeksexta:CO_10" "weekquarta:CO_11" "weekquinta:CO_11" "weekterça:CO_11" "weeksegunda:CO_12" "weekterça:CO_12" "weekquinta:CO_13" "weeksábado:CO_13" "weeksexta:CO_13" "weekterça:CO_13" "seasonFall" "seasonFall:Tem" "seasonWinter:Tem" "seasonSpring:Tem" "seasonFall:WS" "seasonSpring:WS" "ONI:seasonFall" "ONI:seasonWinter"
0 1 -0.602018807452372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.677023282698638 0 0 0 0 0 0.96704394438313 0 0.944396737629375 0 0 0 1.19591719366807 0 0 0 0 0 0 0 0
0 0 -1.0583400464589 0 0 0 -0.00560443661322216 0 0 0 0 0 0 0 0 -0.706961232849924 0 0 0 0 0.537660704549875 0 0 0.93406868790773 0 0 0.409914951549426 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.821303613382281 0 0 0 0 0 0 0 -0.814065265339588 0 0 0 0 0 0 0 0.496598427773518 0 0 0 0 0 0 0 0 0.859966153098842 0 0 0 0.324483742388202 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.430767816154729 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.219500391751718 0 0 0 0 0 0 0 0.904448076571429 0 0 0 0 0 0 0 0.975836313742228 0 0 0 0 0 0 0 0 0
1 0 -0.982112471064215 -0.400695194338755 0 0 0 -0.327965137919877 0 -0.947225216127436 0 0 -0.982112471064215 0 -1.11372096339504 0 -0.274816692058169 0 0 0.0600288897926389 0 0 0 0 0.498430657013182 0 0 0 0 0 0 0 0.369967813392134 0 0 0 0 0 0 0 0 0 0
0 0 -1.40084202905418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.724191770756179 0 0.670791482935 0.491631255023208 0 0 0.354141056754255 0 0 -0.18884841226617 0 -0.724191770756179 0 0 0 0 0 0 0 0.795951093013201 0 0 0 0 0 0 0 0.709341682762119 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 -0.362893947652614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.15660570668325 0 0 0 0 0 1.07944317741609 0 1.85547602651427 0 0 0 0.707376921930387 0 0 0 0 0 0 0 0
0 0 -0.707484356971043 0 0 0 0.177710925338364 0 0 0 0 0 0 0 0 -0.560767757849096 0 0 0 0 0.581449492766016 0 0 1.07246006874127 0 0 0.508945684579622 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 -0.702263290163188 0 0 0 0 0 0 0 -0.385440979673384 0 0 0 0 0 0 0 0.257794046069471 0 0 0 0 0 0 0 0 1.42644011680827 0 0 0 0.918205928322473 0 0 0 0 0 0 0 0 0 0 0
